verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Trametes cubensis,Trametes cubensis (Mont.) Sacc.,2548276,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes cubensis,Trametes cubensis,(Mont.) Sacc.,2548276
Trametes sanguinea,Trametes sanguinea (Klotzsch) Pat.,9693835,EDITED,97,SYNONYM,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Earliella,Earliella scabrosa,Trametes sanguinea,,9693835
Trema micrantha,Trema micranthum (L.) Blume,2984501,FUZZY,96,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micranthum,Trema micranthum,(L.) Blume,2984501
Trianthema portulacastrum,Trianthema portulacastrum L.,3084848,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Trianthema,Trianthema portulacastrum,Trianthema portulacastrum,L.,3084848
Trichilia elegans,Trichilia elegans A.Juss.,7271353,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia elegans,Trichilia elegans,A.Juss.,7271353
Tridax procumbens,Tridax procumbens L.,3149462,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,Tridax procumbens,Tridax procumbens,L.,3149462
Trigona spinipes,"Trigona spinipes (Fabricius, 1793)",5040803,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Trigona,Trigona spinipes,Trigona spinipes,"(Fabricius, 1793)",5040803
Triplaris americana,Triplaris americana L.,4038608,EDITED,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Triplaris,Triplaris americana,Triplaris americana,,4038608
Troglodytes musculus,"Troglodytes musculus J.F.Naumann, 1823",8346347,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes musculus,Troglodytes musculus,"J.F.Naumann, 1823",8346347
Tropidurus torquatus,"Tropidurus torquatus (Wied-Neuwied, 1820)",5224858,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Tropiduridae,Tropidurus,Tropidurus torquatus,Tropidurus torquatus,"(Wied-Neuwied, 1820)",5224858
Turdus leucomelas,"Turdus leucomelas Vieillot, 1818",2490726,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus leucomelas,Turdus leucomelas,"Vieillot, 1818",2490726
Turdus rufiventris,"Turdus rufiventris Vieillot, 1818",2490718,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Turdus rufiventris,"Vieillot, 1818",2490718
Turnera subulata,Turnera subulata J.E.Sm.,4161154,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,Turnera subulata,Turnera subulata,J.E.Sm.,4161154
Tyrannus melancholicus,"Tyrannus melancholicus Vieillot, 1819",5229662,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus,Tyrannus melancholicus,"Vieillot, 1819",5229662
Uroleucon,"Uroleucon Mordvilko, 1914",2070443,HIGHERRANK,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Uroleucon,,Uroleucon,"Mordvilko, 1914",2070443
Usnea,"Usnea Dill. ex Adans., 1763",2605982,HIGHERRANK,94,ACCEPTED,GENUS,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,,Usnea,"Dill. ex Adans., 1763",2605982
Usnea barbata,Usnea barbata (L.) Weber ex F.H.Wigg,7247607,EXACT,97,ACCEPTED,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,Usnea barbata,Usnea barbata,(L.) Weber ex F.H.Wigg,7247607
Vanellus chilensis,"Vanellus chilensis (Molina, 1782)",5229146,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis,Vanellus chilensis,"(Molina, 1782)",5229146
Varronia curassavica,Varronia curassavica Jacq.,4060951,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Varronia,Varronia curassavica,Varronia curassavica,Jacq.,4060951
Vernonanthura,Vernonanthura H.Rob.,3110435,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,,Vernonanthura,H.Rob.,3110435
Vespidae,Vespidae,4490,HIGHERRANK,94,ACCEPTED,FAMILY,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,,,Vespidae,,4490
Volatina jacarina,"Volatinia jacarina (Linnaeus, 1766)",2491741,FUZZY,85,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Volatinia jacarina,"(Linnaeus, 1766)",2491741
Volatinia jacarina,"Volatinia jacarina (Linnaeus, 1766)",2491741,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Volatinia jacarina,"(Linnaeus, 1766)",2491741
Xanthoria parietina,Xanthoria parietina (L.) Th.Fr.,8197849,EXACT,97,ACCEPTED,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,Xanthoria parietina,Xanthoria parietina,(L.) Th.Fr.,8197849
Xylocopa frontalis,"Xylocopa frontalis (Olivier, 1789)",1342518,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa frontalis,Xylocopa frontalis,"(Olivier, 1789)",1342518
Xylopia aromatica,Xylopia aromatica (Lam.) Mart.,3157126,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Xylopia,Xylopia aromatica,Xylopia aromatica,(Lam.) Mart.,3157126
Youngia japonica,Youngia japonica (L.) DC.,5387974,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Youngia,Youngia japonica,Youngia japonica,(L.) DC.,5387974
Zenaida,"Zenaida Bonaparte, 1838",2495346,HIGHERRANK,94,ACCEPTED,GENUS,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,,Zenaida,"Bonaparte, 1838",2495346
Zenaida auriculata,"Zenaida auriculata (Des Murs, 1847)",2495358,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida auriculata,Zenaida auriculata,"(Des Murs, 1847)",2495358
Zonotrichia capensis,"Zonotrichia capensis (P.L.S.Müller, 1776)",5231103,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Zonotrichia capensis,"(P.L.S.Müller, 1776)",5231103
Zornia latifolia,Zornia latifolia Sm.,5355241,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Zornia,Zornia latifolia,Zornia latifolia,Sm.,5355241
