verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Camponotus pennsylvanicus,"Camponotus pennsylvanicus (De Geer, 1773)",5034116,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus pennsylvanicus,Camponotus pennsylvanicus,"(De Geer, 1773)",5034116
Camptostoma obsoletum,"Camptostoma obsoletum (Temminck, 1824)",2483511,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Camptostoma,Camptostoma obsoletum,Camptostoma obsoletum,"(Temminck, 1824)",2483511
Canna indica,Canna indica L.,8034409,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica,Canna indica,L.,8034409
Caracara plancus,"Caracara plancus (J.F.Miller, 1777)",2480989,FUZZY,85,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara plancus,Caracara plancus,"(J.F.Miller, 1777)",2480989
Cathartes burrovianus,"Cathartes burrovianus Cassin, 1845",2481928,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,Cathartes burrovianus,Cathartes burrovianus,"Cassin, 1845",2481928
Cecropia,Cecropia Loefl.,2984472,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,,Cecropia,Loefl.,2984472
Cecropia hololeuca,Cecropia hololeuca Miq.,4013377,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,Cecropia hololeuca,Cecropia hololeuca,Miq.,4013377
Cecropia glaziovii,Cecropia glaziovii Trécul,4013385,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,Cecropia glaziovii,Cecropia glaziovii,Trécul,4013385
Cenchrus echinatus,Cenchrus echinatus L.,5289739,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus echinatus,Cenchrus echinatus,L.,5289739
Chamaecrista nictitans,Chamaecrista nictitans (L.) Moench,2950302,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista nictitans,Chamaecrista nictitans,(L.) Moench,2950302
Chamaecrista rotundifolia,Chamaecrista rotundifolia (Pers.) Greene,2949803,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista rotundifolia,Chamaecrista rotundifolia,(Pers.) Greene,2949803
Chilopoda,Chilopoda,360,EDITED,94,ACCEPTED,CLASS,Animalia,Arthropoda,Chilopoda,,,,,Chilopoda,,360
Chionomesa fimbriata,"Chionomesa fimbriata (J.F.Gmelin, 1788)",10941997,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chionomesa,Chionomesa fimbriata,Chionomesa fimbriata,"(J.F.Gmelin, 1788)",10941997
Chloris barbata,Chloris barbata Sw.,5289612,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloris,Chloris barbata,Chloris barbata,Sw.,5289612
Chloris virgata,Chloris virgata Sw.,5289624,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloris,Chloris virgata,Chloris virgata,Sw.,5289624
Chlorophytum comosum,Chlorophytum comosum (Thunb.) Jacques,2774846,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum comosum,Chlorophytum comosum,(Thunb.) Jacques,2774846
Chordeiles acutipennis,"Chordeiles acutipennis (Hermann, 1783)",2497052,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,Chordeiles acutipennis,"(Hermann, 1783)",2497052
Christella dentata,Christella dentata (Forssk.) Brownsey & Jermy,7160028,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Christella,Christella dentata,Christella dentata,(Forssk.) Brownsey & Jermy,7160028
Chroicocephalus cirrocephalus,"Chroicocephalus cirrocephalus (Vieillot, 1818)",6065820,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus cirrocephalus,Chroicocephalus cirrocephalus,"(Vieillot, 1818)",6065820
Cicadellidae,"Cicadellia Latreille, 1817",11338403,EDITED,53,SYNONYM,GENUS,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cicadella,,Cicadellia,,11338403
Cissus verticillata,Cissus verticillata (L.) Nicolson & C.E.Jarvis,3039173,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus verticillata,Cissus verticillata,(L.) Nicolson & C.E.Jarvis,3039173
Cleome,Cleome L.,3041500,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleome,,Cleome,L.,3041500
Cleome aculeata,Cleome aculeata L.,3054221,EXACT,98,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Tarenaya,Tarenaya aculeata,Cleome aculeata,L.,3054221
Coccinellidae,Coccinellidae,7782,HIGHERRANK,94,ACCEPTED,FAMILY,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,,,Coccinellidae,,7782
Coereba flaveola,"Coereba flaveola (Linnaeus, 1758)",2493744,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,Coereba flaveola,Coereba flaveola,"(Linnaeus, 1758)",2493744
