instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;leo201;05/11/2019;06/11/2019;25/02/2020;4;2;;;;;Sim;1494;1;112
;leo496;09/04/2022;09/04/2022;10/09/2023;2;0;;;;;Sim;608;0;519
;leonardo262;18/01/2020;18/01/2020;10/07/2021;5;2;;;;;Sim;1420;0;539
;leonardopires;13/12/2018;13/12/2018;13/12/2018;1;0;;;;;Sim;1821;0;0
lethicya_motta_;lethiciamotta;07/06/2023;07/06/2023;30/06/2023;22;11;;;;;Sim;;0;23
lethsleh;lethsleh;16/09/2023;16/09/2023;28/11/2023;8;3;12/02/2023;;;;Sim;83;0;73
;leticiavasques;26/09/2022;26/09/2022;26/09/2022;1;1;;;;;Sim;438;0;0
;levi191;05/05/2023;05/05/2023;02/08/2023;22;6;;;;;Sim;217;0;89
;lirajr;27/09/2019;27/09/2019;25/07/2023;1;1;;;;;Sim;1533;0;1397
;livia119;04/07/2022;04/07/2022;04/07/2022;1;1;;;;;Sim;522;0;0
ljtcardoso;ljtcardoso;25/07/2021;25/07/2021;22/05/2023;472;266;13/05/2023;;;;Sim;866;0;666
;lohansantos;04/03/2020;04/03/2020;18/11/2023;1;1;;;;;Sim;1374;0;1354
;lorram;06/02/2020;06/02/2020;27/08/2023;4;1;;;;;Sim;1401;0;1298
;lrmont;24/04/2023;24/04/2023;30/04/2023;1;1;;;;;Sim;228;0;6
larissasouzasg;lrssgxx;02/12/2023;;;;;02/12/2023;;;;;6;;
;luanamauad;25/07/2021;25/07/2021;25/07/2021;1;0;;;;;Sim;866;0;0
;lucasrocha;21/01/2019;21/01/2019;10/09/2020;5;4;;;;;Sim;1782;0;598
;luciana_mirapalhete;27/03/2022;27/03/2022;27/03/2022;2;1;;;;;Sim;621;0;0
;luciana26;05/08/2018;05/08/2018;03/12/2020;8;4;;;;;Sim;1951;0;851
;luis_felipe_carvalho;20/02/2021;21/02/2021;25/10/2023;3;0;;;;;Sim;1021;1;977
;luisandre;01/09/2022;01/09/2022;01/09/2022;1;1;;;;;Sim;463;0;0
;luiz_carlos;13/10/2020;13/10/2020;13/10/2020;1;0;;;;;Sim;1151;0;0
;luizcury;02/04/2020;02/04/2020;02/04/2020;1;1;;;;;Sim;1345;0;0
;lulatred;10/01/2023;10/01/2023;18/10/2023;6;3;;;;;Sim;332;0;281
;luma_coelho;27/07/2021;28/07/2021;08/07/2023;1;0;;;;;Sim;864;1;710
;macajorge;10/08/2021;10/08/2021;10/08/2021;1;0;;;;;Sim;850;0;0
;madalenaecoturismo;30/11/2019;01/12/2019;17/12/2022;8;2;;;;;Sim;1469;1;1112
